id_mahasiswa;Marital_status;Application_mode;Application_order;Course;Daytime_evening_attendance;Previous_qualification;Previous_qualification_grade;Nacionality;Mothers_qualification;Fathers_qualification;Mothers_occupation;Fathers_occupation;Admission_grade;Displaced;Educational_special_needs;Debtor;Tuition_fees_up_to_date;Gender;Scholarship_holder;Age_at_enrollment;International;Curricular_units_1st_sem_credited;Curricular_units_1st_sem_enrolled;Curricular_units_1st_sem_evaluations;Curricular_units_1st_sem_approved;Curricular_units_1st_sem_grade;Curricular_units_1st_sem_without_evaluations;Curricular_units_2nd_sem_credited;Curricular_units_2nd_sem_enrolled;Curricular_units_2nd_sem_evaluations;Curricular_units_2nd_sem_approved;Curricular_units_2nd_sem_grade;Curricular_units_2nd_sem_without_evaluations;Unemployment_rate;Inflation_rate;GDP;Status;skor_kartu;peringkat;asal_data;profil
MHS0044;1;17;1;9773;1;1;120.0;1;1;38;5;5;121.4;0;0;0;0;0;0;20;0;0;6;7;4;13.0;0;0;6;7;5;13.8;0;12.4;0.5;1.79;Dropout;558;D;data latih;Terhalang biaya
MHS0045;1;39;1;9991;0;1;133.1;1;37;37;9;9;109.7;0;0;0;1;0;0;29;0;0;5;0;0;0.0;0;0;5;0;0;0.0;0;16.2;0.3;-0.92;Dropout;520;E;data latih;Menghilang dari kelas
MHS0046;1;17;1;9991;0;1;154.0;1;38;38;4;5;134.1;0;0;0;1;0;0;24;0;0;5;9;2;11.5;0;0;5;11;3;14.333333333333334;1;7.6;2.6;0.32;Enrolled;607;C;mahasiswa aktif;Tidak dipanggil
MHS0047;1;17;2;9238;1;1;130.0;1;19;19;9;9;127.6;1;0;0;1;0;0;18;0;0;6;6;6;11.666666666666666;0;0;6;8;5;13.2;0;11.1;0.6;2.02;Graduate;646;C;data latih;Tidak dipanggil
MHS0048;1;17;6;9500;1;1;132.0;1;37;19;7;7;132.4;1;0;0;1;0;1;22;0;0;7;8;6;13.516666666666666;0;0;8;9;7;13.771428571428572;0;11.1;0.6;2.02;Graduate;708;A;data latih;Tidak dipanggil
MHS0049;1;44;1;8014;0;39;130.0;1;1;19;9;9;133.4;0;0;0;1;0;1;21;0;3;6;6;6;11.5;0;2;6;7;6;13.285714285714286;0;12.4;0.5;1.79;Graduate;701;A;data latih;Tidak dipanggil
MHS0050;1;1;1;9238;1;1;139.0;1;37;38;9;9;126.1;0;0;0;1;0;1;19;0;0;6;7;5;12.333333333333334;0;0;6;7;6;12.833333333333334;0;12.7;3.7;-1.7;Graduate;708;A;data latih;Tidak dipanggil
MHS0051;1;39;1;9254;1;1;130.0;1;19;38;9;7;113.5;0;0;0;1;0;1;24;0;0;6;6;6;13.666666666666666;0;0;6;6;6;14.166666666666666;0;12.4;0.5;1.79;Graduate;690;B;data latih;Tidak dipanggil
MHS0052;1;1;1;9500;1;1;139.0;1;37;38;6;6;121.3;1;0;0;1;0;1;19;0;0;8;10;6;11.833333333333334;0;0;8;10;6;11.833333333333334;0;9.4;-0.8;-3.12;Enrolled;713;A;mahasiswa aktif;Tidak dipanggil
MHS0053;1;1;1;9773;1;1;127.0;1;1;19;7;7;121.8;1;0;0;1;0;1;20;0;0;6;11;4;14.0;0;0;6;12;3;11.0;0;9.4;-0.8;-3.12;Enrolled;636;C;mahasiswa aktif;Tidak dipanggil
MHS0054;1;1;3;9130;1;1;167.0;1;37;37;90;90;159.3;0;0;0;1;0;0;19;0;0;5;7;5;14.714285714285714;0;0;5;5;5;15.8;0;7.6;2.6;0.32;Graduate;635;C;data uji;Tidak dipanggil
MHS0055;1;39;1;9991;0;1;130.0;1;38;38;9;9;120.0;0;0;0;1;0;0;27;0;0;5;12;5;10.6;0;0;5;10;5;11.0;0;9.4;-0.8;-3.12;Dropout;555;D;data uji;Berjuang secara akademik
MHS0056;1;1;1;9500;1;1;130.0;1;1;19;5;5;129.1;1;0;0;1;0;0;18;0;0;7;9;7;13.044444444444444;0;0;8;10;8;13.595;0;15.5;2.8;-4.06;Graduate;699;A;data latih;Tidak dipanggil
MHS0057;2;7;1;9254;1;3;130.0;1;1;3;4;3;130.0;0;0;0;1;0;0;39;0;0;6;10;0;0.0;0;0;6;6;0;0.0;0;12.4;0.5;1.79;Dropout;525;E;data uji;Berjuang secara akademik
MHS0058;1;39;1;9130;1;40;129.0;1;3;3;2;2;155.3;1;0;0;1;0;0;27;0;0;6;9;5;13.0;0;5;11;13;10;12.9;0;12.4;0.5;1.79;Dropout;630;C;data latih;Tidak dipanggil
MHS0059;1;17;1;9500;1;1;141.0;1;38;38;7;10;139.8;1;0;0;1;0;0;18;0;0;8;8;8;14.935;0;0;8;8;8;14.935;0;9.4;-0.8;-3.12;Graduate;699;A;data latih;Tidak dipanggil
MHS0060;1;1;3;171;1;1;125.0;1;38;37;4;9;115.2;1;0;0;1;0;0;18;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;7.6;2.6;0.32;Enrolled;562;D;mahasiswa aktif;Menghilang dari kelas
MHS0061;1;1;2;9500;1;1;125.0;1;19;19;9;9;114.9;0;0;0;1;0;0;18;0;0;7;8;6;13.133333333333333;0;0;8;12;7;12.221428571428572;0;16.2;0.3;-0.92;Graduate;694;B;data latih;Tidak dipanggil
MHS0062;1;44;1;9238;1;39;130.0;1;19;1;9;9;131.9;0;0;0;1;0;1;21;0;3;6;7;6;12.0;0;2;6;7;6;12.0;0;13.9;-0.3;0.79;Graduate;702;A;data uji;Tidak dipanggil
MHS0063;1;17;3;171;1;1;133.0;1;1;37;4;7;126.0;1;0;0;1;1;1;19;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;10.8;1.4;1.74;Enrolled;582;D;mahasiswa aktif;Menghilang dari kelas
MHS0064;1;17;1;9070;1;1;127.0;1;1;1;3;4;130.2;1;0;0;1;1;0;19;0;0;6;6;5;11.4;0;0;6;8;1;10.0;0;10.8;1.4;1.74;Enrolled;592;D;mahasiswa aktif;Berjuang secara akademik
MHS0065;1;43;1;9070;1;1;116.0;1;1;1;3;3;120.9;0;0;0;1;1;0;24;0;0;6;6;0;0.0;0;0;6;6;0;0.0;0;12.7;3.7;-1.7;Enrolled;542;E;mahasiswa aktif;Menghilang dari kelas
MHS0066;4;42;1;9500;1;19;133.1;1;1;1;5;5;126.0;1;0;0;1;1;0;29;0;2;7;10;5;11.9;0;1;8;10;5;11.0;0;13.9;-0.3;0.79;Dropout;582;D;data latih;Berjuang secara akademik
MHS0067;1;1;3;171;1;1;139.0;1;19;19;5;3;128.2;1;0;0;1;1;1;19;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;10.8;1.4;1.74;Graduate;589;D;data latih;Menghilang dari kelas
MHS0068;1;44;1;9003;1;39;130.0;1;19;37;9;9;130.0;1;0;0;1;1;0;23;0;0;6;8;6;12.571428571428571;0;0;6;7;6;12.428571428571429;0;8.9;1.4;3.51;Graduate;659;B;data latih;Tidak dipanggil
MHS0069;1;1;3;9147;1;1;125.0;1;1;38;7;7;120.1;0;0;1;1;1;0;19;0;0;5;8;5;11.2;0;0;5;10;4;10.75;3;16.2;0.3;-0.92;Dropout;566;D;data uji;Berjuang secara akademik
MHS0070;1;39;1;9254;1;1;160.0;1;19;37;7;10;100.0;0;0;0;1;1;0;26;0;0;6;7;6;12.0;0;0;6;8;5;10.8;0;12.7;3.7;-1.7;Enrolled;577;D;mahasiswa aktif;Berjuang secara akademik
MHS0071;1;17;1;9147;1;1;148.0;1;38;37;5;5;134.0;0;0;0;1;1;0;18;0;0;5;9;0;0.0;0;0;5;5;0;0.0;0;7.6;2.6;0.32;Enrolled;554;D;mahasiswa aktif;Menghilang dari kelas
MHS0072;1;17;1;9500;1;1;150.0;1;37;19;8;4;130.8;0;0;0;1;1;0;24;0;0;7;8;7;11.975;0;0;8;8;8;13.75;0;13.9;-0.3;0.79;Graduate;669;B;data latih;Tidak dipanggil
MHS0073;1;1;1;171;1;1;141.0;1;19;19;5;10;135.8;1;0;0;1;1;0;19;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;15.5;2.8;-4.06;Dropout;560;D;data latih;Menghilang dari kelas
MHS0074;1;17;4;9254;1;1;118.0;1;38;37;5;7;111.7;1;0;0;1;1;0;18;0;0;6;12;3;11.666666666666666;0;0;6;12;1;12.0;0;12.4;0.5;1.79;Dropout;616;C;data uji;Tidak dipanggil
MHS0075;1;1;2;9773;1;1;142.0;1;38;38;9;9;132.9;1;0;0;1;1;0;18;0;0;6;8;6;12.333333333333334;0;0;6;11;3;12.333333333333334;0;10.8;1.4;1.74;Graduate;649;C;data latih;Tidak dipanggil
MHS0076;1;17;3;9147;1;1;120.0;1;19;19;4;7;115.5;1;0;1;1;1;0;18;0;0;5;8;3;10.333333333333334;0;0;5;11;3;10.857142857142858;0;10.8;1.4;1.74;Dropout;546;E;data latih;Berjuang secara akademik
MHS0077;1;18;4;9254;1;1;106.0;1;19;37;7;7;106.0;1;0;0;1;1;1;21;0;0;6;8;4;10.5;0;0;6;11;1;11.0;0;9.4;-0.8;-3.12;Dropout;612;C;data latih;Tidak dipanggil
MHS0078;1;17;4;9773;1;1;121.0;1;1;19;9;8;120.3;1;0;1;1;1;1;19;0;0;6;6;6;13.666666666666666;0;0;6;6;6;13.333333333333334;0;8.9;1.4;3.51;Graduate;688;B;data latih;Tidak dipanggil
MHS0079;1;17;4;9500;1;1;150.0;1;38;37;9;9;130.8;0;0;0;1;1;1;22;0;0;7;7;7;14.842857142857142;0;0;8;9;8;15.055555555555555;0;16.2;0.3;-0.92;Graduate;715;A;data uji;Tidak dipanggil
MHS0080;2;39;1;8014;0;1;120.0;1;37;37;9;6;117.0;0;0;0;1;1;0;33;0;0;6;8;6;12.0;0;0;6;6;6;11.666666666666666;0;10.8;1.4;1.74;Graduate;615;C;data latih;Tidak dipanggil
MHS0081;1;1;6;9853;1;1;114.0;1;19;19;9;9;110.2;1;0;0;1;1;0;20;0;0;6;8;5;12.2;0;0;6;7;5;12.2;0;10.8;1.4;1.74;Dropout;620;C;data uji;Tidak dipanggil
MHS0082;1;39;1;9991;0;2;140.0;1;3;3;2;2;155.7;1;0;0;1;1;0;35;0;0;1;1;0;0.0;1;0;5;0;0;0.0;0;10.8;1.4;1.74;Dropout;520;E;data uji;Menghilang dari kelas
MHS0083;1;39;1;9003;1;4;160.0;1;3;3;4;2;180.4;0;0;1;1;1;0;24;0;6;12;17;6;12.166666666666666;0;7;12;14;10;13.3;0;12.4;0.5;1.79;Dropout;622;C;data latih;Tidak dipanggil
MHS0084;1;17;1;9254;1;1;120.0;1;19;19;4;4;125.5;0;0;0;1;1;0;18;0;0;5;6;5;12.0;0;0;5;8;3;11.333333333333334;0;12.7;3.7;-1.7;Enrolled;589;D;mahasiswa aktif;Berjuang secara akademik
MHS0085;2;39;1;8014;0;1;130.0;1;37;37;9;6;110.0;1;0;0;1;0;0;33;0;0;6;7;6;11.0;0;0;6;11;5;11.0;0;9.4;-0.8;-3.12;Graduate;578;D;data latih;Berjuang secara akademik
MHS0086;1;42;1;9500;1;1;160.0;1;37;38;9;7;161.0;1;0;0;1;0;1;22;0;0;8;8;7;13.08;0;0;8;8;7;13.08;0;10.8;1.4;1.74;Graduate;706;A;data latih;Tidak dipanggil
MHS0087;1;39;1;9670;1;1;120.0;1;1;19;4;5;100.0;0;0;0;1;0;1;25;0;0;5;7;4;10.5;0;0;5;7;5;11.6;0;9.4;-0.8;-3.12;Graduate;590;D;data latih;Berjuang secara akademik
MHS0088;1;17;1;9070;1;1;124.0;1;19;38;4;0;117.6;1;0;0;1;1;0;20;0;0;6;9;6;10.666666666666666;1;0;6;6;5;11.2;0;7.6;2.6;0.32;Graduate;606;C;data uji;Tidak dipanggil
MHS0089;1;1;6;9147;1;1;143.0;1;38;37;9;9;128.7;1;0;0;1;1;0;23;0;0;5;6;4;14.0;0;0;5;5;5;13.8;0;11.1;0.6;2.02;Enrolled;630;C;mahasiswa aktif;Tidak dipanggil
MHS0090;1;43;2;9119;1;1;115.0;1;38;19;9;6;112.2;1;0;1;1;1;0;18;0;0;5;9;2;10.0;0;0;5;9;0;0.0;0;15.5;2.8;-4.06;Enrolled;524;E;mahasiswa aktif;Berjuang secara akademik
MHS0091;1;39;1;9500;1;1;133.1;1;1;1;4;10;100.8;0;0;0;1;1;0;24;0;0;7;18;0;0.0;0;0;7;7;0;0.0;0;13.9;-0.3;0.79;Dropout;538;E;data latih;Berjuang secara akademik
MHS0092;1;17;2;9773;1;1;133.1;41;19;1;9;9;105.0;1;0;0;0;0;0;21;1;0;6;6;6;14.0;0;0;6;6;6;13.5;0;8.9;1.4;3.51;Graduate;608;C;data uji;Tidak dipanggil
MHS0093;1;15;1;9130;1;1;133.1;41;1;1;4;4;100.0;0;0;0;1;0;0;26;1;0;6;7;2;12.0;1;0;6;6;0;0.0;0;8.9;1.4;3.51;Dropout;566;D;data latih;Berjuang secara akademik
MHS0094;2;39;1;9853;1;10;133.1;1;37;34;0;0;115.5;0;0;0;1;0;0;39;0;0;6;12;3;12.666666666666666;0;0;6;14;0;0.0;1;7.6;2.6;0.32;Dropout;560;D;data uji;Berjuang secara akademik
MHS0095;2;39;1;8014;0;1;133.1;1;37;19;9;9;114.0;0;0;0;1;0;0;44;0;2;8;11;8;11.875;0;0;6;7;6;12.333333333333334;0;12.7;3.7;-1.7;Graduate;642;C;data latih;Tidak dipanggil
MHS0096;1;15;1;9119;1;1;130.0;26;38;3;9;2;137.0;1;0;0;1;1;0;19;1;0;5;9;5;14.0;0;0;5;11;3;13.25;0;13.9;-0.3;0.79;Enrolled;611;C;mahasiswa aktif;Tidak dipanggil
MHS0097;1;1;5;9773;1;1;135.0;1;37;1;5;5;124.9;1;0;0;1;0;0;18;0;0;6;6;6;13.666666666666666;0;0;6;6;6;13.333333333333334;0;8.9;1.4;3.51;Graduate;694;B;data uji;Tidak dipanggil
MHS0098;1;1;5;9500;1;1;132.0;1;37;37;7;7;120.3;1;0;0;1;0;1;18;0;0;7;7;7;13.75;0;0;8;9;8;14.47777777777778;0;12.4;0.5;1.79;Graduate;735;A;data latih;Tidak dipanggil
MHS0099;1;1;1;9085;1;1;135.0;1;1;2;9;1;134.3;1;0;0;1;0;0;19;0;0;5;7;5;14.2;2;0;5;7;5;13.8;0;12.7;3.7;-1.7;Enrolled;646;C;mahasiswa aktif;Tidak dipanggil
MHS0100;1;1;4;9500;1;1;115.0;1;3;3;2;2;111.5;1;0;1;0;0;0;19;0;0;7;10;4;11.96;0;0;7;7;0;0.0;0;13.9;-0.3;0.79;Dropout;501;E;data latih;Terhalang biaya
MHS0101;1;53;1;9085;1;42;130.0;1;38;38;9;9;128.8;0;0;0;1;0;0;21;0;7;10;12;8;12.875;0;4;9;14;5;13.4;0;8.9;1.4;3.51;Dropout;644;C;data latih;Tidak dipanggil
MHS0102;1;1;4;171;1;1;133.1;1;1;1;9;10;110.0;1;0;0;1;0;0;20;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;16.2;0.3;-0.92;Graduate;558;D;data uji;Menghilang dari kelas
MHS0103;2;39;1;8014;0;1;130.0;1;37;37;6;5;113.5;1;0;0;1;0;0;36;0;0;6;0;0;0.0;0;0;6;0;0;0.0;0;9.4;-0.8;-3.12;Dropout;529;E;data latih;Menghilang dari kelas
MHS0104;4;39;1;9003;1;12;133.1;1;37;37;9;6;160.0;0;0;0;1;0;0;43;0;13;18;19;18;14.63157894736842;0;10;13;14;13;14.23076923076923;1;15.5;2.8;-4.06;Graduate;656;C;data latih;Tidak dipanggil
MHS0105;1;18;1;9853;1;1;123.0;1;19;19;9;7;117.4;1;0;0;1;0;0;19;0;0;6;0;0;0.0;0;0;6;0;0;0.0;0;11.1;0.6;2.02;Dropout;546;E;data latih;Menghilang dari kelas
MHS0106;1;51;1;9070;1;1;130.0;1;3;1;2;8;122.2;0;0;1;1;0;0;20;0;4;10;12;10;13.0;0;5;11;11;11;12.272727272727272;0;11.1;0.6;2.02;Graduate;650;C;data latih;Tidak dipanggil
MHS0107;1;1;2;9238;1;1;122.0;1;37;38;4;7;118.2;1;0;0;1;0;0;19;0;0;6;0;0;0.0;0;0;6;0;0;0.0;0;16.2;0.3;-0.92;Dropout;570;D;data latih;Menghilang dari kelas
MHS0108;1;1;1;9085;1;1;113.0;1;1;1;4;4;106.7;1;0;0;1;0;0;20;0;0;6;15;4;14.2;0;0;6;17;4;13.25;0;15.5;2.8;-4.06;Dropout;639;C;data latih;Tidak dipanggil
