id_mahasiswa;program_studi;usia_mendaftar;uang_kuliah;mk_lulus_th1;skor_kartu;peringkat;profil
MHS0528;Kerja Sosial kelas malam;49;Uang kuliah lancar;9;569;D;Berjuang secara akademik
MHS0335;Keperawatan;48;Uang kuliah lancar;7;569;D;Berjuang secara akademik
MHS0346;Perawat Hewan;24;Uang kuliah tertunggak;14;569;D;Terhalang biaya
MHS0390;Peternakan Kuda;24;Uang kuliah lancar;9;569;D;Berjuang secara akademik
MHS0616;Manajemen;18;Uang kuliah lancar;1;569;D;Berjuang secara akademik
MHS0727;Perawat Hewan;21;Uang kuliah lancar;6;569;D;Berjuang secara akademik
MHS0073;Pariwisata;20;Uang kuliah lancar;6;570;D;Berjuang secara akademik
MHS0086;Perawat Hewan;22;Uang kuliah lancar;9;570;D;Berjuang secara akademik
MHS0378;Teknik Informatika;18;Uang kuliah lancar;6;571;D;Berjuang secara akademik
MHS0038;Kerja Sosial kelas malam;23;Uang kuliah lancar;3;571;D;Berjuang secara akademik
MHS0533;Kerja Sosial kelas malam;34;Uang kuliah lancar;4;572;D;Berjuang secara akademik
MHS0387;Teknik Informatika;18;Uang kuliah lancar;7;572;D;Berjuang secara akademik
MHS0419;Jurnalistik dan Komunikasi;29;Uang kuliah tertunggak;11;572;D;Terhalang biaya
MHS0062;Perawat Hewan;19;Uang kuliah lancar;6;572;D;Berjuang secara akademik
MHS0619;Manajemen;24;Uang kuliah lancar;7;572;D;Berjuang secara akademik
MHS0626;Pendidikan Dasar;19;Uang kuliah lancar;8;573;D;Berjuang secara akademik
MHS0507;Jurnalistik dan Komunikasi;23;Uang kuliah lancar;5;573;D;Berjuang secara akademik
MHS0552;Teknik Informatika;33;Uang kuliah lancar;7;573;D;Berjuang secara akademik
MHS0330;Manajemen;20;Uang kuliah lancar;10;574;D;Berjuang secara akademik
MHS0188;Higiene Gigi;25;Uang kuliah lancar;12;574;D;Berjuang secara akademik
MHS0179;Pendidikan Dasar;18;Uang kuliah lancar;9;574;D;Berjuang secara akademik
MHS0274;Desain Komunikasi Visual;18;Uang kuliah lancar;5;574;D;Berjuang secara akademik
MHS0143;Desain Komunikasi Visual;22;Uang kuliah tertunggak;10;574;D;Berjuang secara akademik
MHS0156;Pendidikan Dasar;22;Uang kuliah lancar;9;575;D;Berjuang secara akademik
MHS0136;Manajemen;20;Uang kuliah lancar;10;575;D;Berjuang secara akademik
MHS0656;Teknik Informatika;19;Uang kuliah lancar;5;575;D;Berjuang secara akademik
MHS0743;Manajemen;20;Uang kuliah lancar;4;575;D;Berjuang secara akademik
MHS0097;Manajemen;20;Uang kuliah lancar;7;575;D;Berjuang secara akademik
MHS0628;Manajemen kelas malam;29;Uang kuliah lancar;9;575;D;Berjuang secara akademik
MHS0599;Manajemen Iklan dan Pemasaran;24;Uang kuliah lancar;8;576;D;Berjuang secara akademik
MHS0016;Pariwisata;26;Uang kuliah lancar;11;577;D;Berjuang secara akademik
MHS0126;Pariwisata;20;Uang kuliah lancar;8;577;D;Berjuang secara akademik
MHS0682;Higiene Gigi;25;Uang kuliah lancar;6;577;D;Berjuang secara akademik
MHS0644;Pariwisata;25;Uang kuliah lancar;10;577;D;Berjuang secara akademik
MHS0756;Pendidikan Dasar;22;Uang kuliah lancar;9;577;D;Berjuang secara akademik
MHS0152;Teknik Informatika;18;Uang kuliah lancar;6;578;D;Berjuang secara akademik
MHS0001;Kerja Sosial;18;Uang kuliah lancar;3;578;D;Berjuang secara akademik
MHS0441;Peternakan Kuda;19;Uang kuliah lancar;7;578;D;Berjuang secara akademik
MHS0375;Kerja Sosial;19;Uang kuliah lancar;3;578;D;Berjuang secara akademik
MHS0455;Teknik Informatika;18;Uang kuliah lancar;6;578;D;Berjuang secara akademik
MHS0570;Manajemen;18;Uang kuliah lancar;5;579;D;Berjuang secara akademik
MHS0255;Keperawatan;35;Uang kuliah lancar;10;579;D;Berjuang secara akademik
MHS0457;Manajemen;19;Uang kuliah lancar;7;579;D;Berjuang secara akademik
MHS0448;Teknik Informatika;20;Uang kuliah lancar;5;579;D;Berjuang secara akademik
MHS0309;Teknik Informatika;18;Uang kuliah tertunggak;10;579;D;Berjuang secara akademik
MHS0646;Keperawatan;33;Uang kuliah lancar;5;579;D;Berjuang secara akademik
MHS0658;Teknik Informatika;18;Uang kuliah tertunggak;10;579;D;Berjuang secara akademik
MHS0122;Kerja Sosial;18;Uang kuliah lancar;7;579;D;Berjuang secara akademik
MHS0540;Pendidikan Dasar;20;Uang kuliah lancar;8;580;D;Berjuang secara akademik
MHS0611;Manajemen;18;Uang kuliah lancar;4;580;D;Berjuang secara akademik
MHS0430;Manajemen kelas malam;43;Uang kuliah lancar;7;580;D;Berjuang secara akademik
MHS0480;Manajemen kelas malam;40;Uang kuliah lancar;7;580;D;Berjuang secara akademik
MHS0530;Manajemen kelas malam;40;Uang kuliah lancar;9;580;D;Berjuang secara akademik
MHS0757;Pendidikan Dasar;22;Uang kuliah lancar;7;580;D;Berjuang secara akademik
MHS0007;Agronomi;21;Uang kuliah lancar;10;581;D;Berjuang secara akademik
MHS0251;Agronomi;20;Uang kuliah lancar;9;581;D;Berjuang secara akademik
MHS0401;Agronomi;21;Uang kuliah lancar;8;581;D;Berjuang secara akademik
MHS0396;Agronomi;20;Uang kuliah lancar;5;581;D;Berjuang secara akademik
MHS0463;Manajemen;24;Uang kuliah lancar;3;581;D;Berjuang secara akademik
MHS0484;Manajemen;20;Uang kuliah lancar;8;581;D;Berjuang secara akademik
MHS0450;Pendidikan Dasar;19;Uang kuliah lancar;9;581;D;Berjuang secara akademik
MHS0774;Manajemen;22;Uang kuliah lancar;7;581;D;Berjuang secara akademik
MHS0044;Jurnalistik dan Komunikasi;18;Uang kuliah lancar;1;581;D;Berjuang secara akademik
MHS0586;Manajemen kelas malam;35;Uang kuliah lancar;8;582;D;Berjuang secara akademik
MHS0398;Pendidikan Dasar;42;Uang kuliah lancar;10;582;D;Berjuang secara akademik
MHS0257;Manajemen kelas malam;31;Uang kuliah lancar;8;582;D;Berjuang secara akademik
MHS0199;Manajemen kelas malam;24;Uang kuliah lancar;9;582;D;Berjuang secara akademik
MHS0273;Animasi dan Desain Multimedia;18;Uang kuliah lancar;0;582;D;Menghilang dari kelas
MHS0688;Agronomi;22;Uang kuliah lancar;7;582;D;Berjuang secara akademik
MHS0689;Teknik Informatika;18;Uang kuliah lancar;1;582;D;Menghilang dari kelas
MHS0778;Manajemen kelas malam;28;Uang kuliah lancar;8;582;D;Berjuang secara akademik
MHS0063;Manajemen kelas malam;31;Uang kuliah lancar;8;582;D;Berjuang secara akademik
MHS0013;Animasi dan Desain Multimedia;19;Uang kuliah lancar;0;582;D;Menghilang dari kelas
MHS0172;Manajemen kelas malam;41;Uang kuliah lancar;9;582;D;Berjuang secara akademik
MHS0151;Peternakan Kuda;21;Uang kuliah lancar;7;582;D;Berjuang secara akademik
MHS0458;Kerja Sosial;20;Uang kuliah lancar;1;583;D;Berjuang secara akademik
MHS0520;Manajemen Iklan dan Pemasaran;22;Uang kuliah lancar;5;583;D;Berjuang secara akademik
MHS0597;Manajemen;21;Uang kuliah lancar;8;583;D;Berjuang secara akademik
MHS0469;Pariwisata;22;Uang kuliah lancar;7;583;D;Berjuang secara akademik
MHS0548;Manajemen;19;Uang kuliah lancar;5;583;D;Berjuang secara akademik
MHS0567;Manajemen;20;Uang kuliah lancar;9;583;D;Berjuang secara akademik
MHS0542;Manajemen;20;Uang kuliah lancar;8;583;D;Berjuang secara akademik
MHS0076;Manajemen;20;Uang kuliah lancar;5;583;D;Berjuang secara akademik
MHS0715;Manajemen;19;Uang kuliah lancar;6;583;D;Berjuang secara akademik
MHS0452;Agronomi;19;Uang kuliah lancar;7;583;D;Berjuang secara akademik
MHS0406;Manajemen;22;Uang kuliah lancar;7;584;D;Berjuang secara akademik
MHS0377;Animasi dan Desain Multimedia;18;Uang kuliah lancar;0;584;D;Menghilang dari kelas
MHS0505;Animasi dan Desain Multimedia;18;Uang kuliah lancar;0;584;D;Menghilang dari kelas
MHS0105;Manajemen kelas malam;28;Uang kuliah lancar;10;584;D;Berjuang secara akademik
MHS0790;Pendidikan Dasar;21;Uang kuliah lancar;8;584;D;Berjuang secara akademik
MHS0748;Pendidikan Dasar;20;Uang kuliah lancar;7;584;D;Berjuang secara akademik
MHS0078;Higiene Gigi;18;Uang kuliah lancar;1;584;D;Menghilang dari kelas
MHS0175;Perawat Hewan;22;Uang kuliah lancar;7;585;D;Berjuang secara akademik
MHS0491;Manajemen;19;Uang kuliah lancar;7;585;D;Berjuang secara akademik
MHS0278;Manajemen;19;Uang kuliah lancar;6;585;D;Berjuang secara akademik
MHS0395;Keperawatan;21;Uang kuliah lancar;0;585;D;Menghilang dari kelas
MHS0343;Desain Komunikasi Visual;18;Uang kuliah tertunggak;10;585;D;Berjuang secara akademik
MHS0603;Teknik Informatika;20;Uang kuliah lancar;4;585;D;Berjuang secara akademik
MHS0614;Pendidikan Dasar;19;Uang kuliah lancar;10;586;D;Berjuang secara akademik
MHS0651;Peternakan Kuda;19;Uang kuliah lancar;7;586;D;Berjuang secara akademik
MHS0215;Pariwisata;26;Uang kuliah lancar;7;586;D;Berjuang secara akademik
MHS0466;Manajemen;23;Uang kuliah lancar;3;586;D;Berjuang secara akademik
MHS0381;Desain Komunikasi Visual;19;Uang kuliah lancar;7;586;D;Berjuang secara akademik
MHS0537;Manajemen Iklan dan Pemasaran;35;Uang kuliah lancar;8;586;D;Berjuang secara akademik
MHS0362;Pendidikan Dasar;19;Uang kuliah lancar;10;586;D;Berjuang secara akademik
MHS0318;Manajemen;19;Uang kuliah lancar;6;586;D;Berjuang secara akademik
MHS0272;Manajemen kelas malam;28;Uang kuliah lancar;8;587;D;Berjuang secara akademik
MHS0670;Pariwisata;19;Uang kuliah lancar;7;587;D;Berjuang secara akademik
MHS0680;Pendidikan Dasar;23;Uang kuliah lancar;10;587;D;Berjuang secara akademik
MHS0250;Manajemen;18;Uang kuliah lancar;9;587;D;Berjuang secara akademik
MHS0259;Animasi dan Desain Multimedia;20;Uang kuliah lancar;0;587;D;Menghilang dari kelas
MHS0624;Keperawatan;28;Uang kuliah lancar;9;587;D;Berjuang secara akademik
MHS0639;Manajemen kelas malam;39;Uang kuliah lancar;8;587;D;Berjuang secara akademik
MHS0316;Pariwisata;19;Uang kuliah lancar;8;587;D;Berjuang secara akademik
MHS0098;Teknik Informatika;25;Uang kuliah lancar;7;587;D;Berjuang secara akademik
MHS0068;Kerja Sosial;19;Uang kuliah lancar;6;588;D;Berjuang secara akademik
MHS0751;Perawat Hewan;27;Uang kuliah lancar;11;588;D;Berjuang secara akademik
MHS0593;Desain Komunikasi Visual;31;Uang kuliah lancar;11;588;D;Berjuang secara akademik
MHS0385;Teknik Informatika;19;Uang kuliah lancar;8;588;D;Berjuang secara akademik
MHS0209;Perawat Hewan;19;Uang kuliah lancar;4;588;D;Berjuang secara akademik
MHS0339;Pendidikan Dasar;19;Uang kuliah lancar;10;588;D;Berjuang secara akademik
MHS0331;Pariwisata;19;Uang kuliah lancar;7;588;D;Berjuang secara akademik
MHS0327;Perawat Hewan;21;Uang kuliah lancar;5;588;D;Berjuang secara akademik
MHS0347;Keperawatan;20;Uang kuliah lancar;0;589;D;Menghilang dari kelas
MHS0623;Manajemen kelas malam;24;Uang kuliah lancar;10;589;D;Berjuang secara akademik
MHS0350;Kerja Sosial;20;Uang kuliah lancar;11;589;D;Berjuang secara akademik
MHS0669;Peternakan Kuda;33;Uang kuliah lancar;4;589;D;Berjuang secara akademik
MHS0712;Manajemen;36;Uang kuliah lancar;7;589;D;Berjuang secara akademik
MHS0018;Pariwisata;18;Uang kuliah lancar;8;589;D;Berjuang secara akademik
MHS0576;Manajemen;21;Uang kuliah lancar;6;590;D;Berjuang secara akademik
MHS0217;Perawat Hewan;19;Uang kuliah lancar;7;590;D;Berjuang secara akademik
MHS0762;Manajemen;20;Uang kuliah lancar;7;590;D;Berjuang secara akademik
MHS0032;Pendidikan Dasar;18;Uang kuliah lancar;8;590;D;Berjuang secara akademik
MHS0719;Kerja Sosial;21;Uang kuliah lancar;6;590;D;Berjuang secara akademik
MHS0627;Manajemen;20;Uang kuliah lancar;6;590;D;Berjuang secara akademik
MHS0184;Pendidikan Dasar;18;Uang kuliah lancar;7;590;D;Berjuang secara akademik
MHS0297;Teknik Informatika;18;Uang kuliah lancar;5;590;D;Berjuang secara akademik
MHS0223;Pendidikan Dasar;19;Uang kuliah lancar;10;591;D;Berjuang secara akademik
MHS0663;Perawat Hewan;26;Uang kuliah lancar;7;591;D;Berjuang secara akademik
MHS0210;Manajemen kelas malam;23;Uang kuliah lancar;13;592;D;Berjuang secara akademik
MHS0081;Manajemen;19;Uang kuliah lancar;9;592;D;Berjuang secara akademik
MHS0190;Manajemen;19;Uang kuliah lancar;7;592;D;Berjuang secara akademik
MHS0423;Peternakan Kuda;24;Uang kuliah lancar;7;592;D;Berjuang secara akademik
MHS0607;Manajemen;19;Uang kuliah lancar;7;592;D;Berjuang secara akademik
MHS0676;Pariwisata;21;Uang kuliah lancar;7;592;D;Berjuang secara akademik
MHS0732;Manajemen;19;Uang kuliah lancar;9;592;D;Berjuang secara akademik
MHS0367;Perawat Hewan;18;Uang kuliah lancar;5;592;D;Berjuang secara akademik
MHS0763;Kerja Sosial;22;Uang kuliah lancar;7;592;D;Berjuang secara akademik
MHS0014;Desain Komunikasi Visual;19;Uang kuliah lancar;6;592;D;Berjuang secara akademik
MHS0595;Animasi dan Desain Multimedia;19;Uang kuliah lancar;7;593;D;Berjuang secara akademik
MHS0522;Perawat Hewan;25;Uang kuliah lancar;5;593;D;Berjuang secara akademik
